2020-03-15 16:50:04.241 INFO  Lote 1 FALHOU, erro: TypeError: conMongoDB.collection is not a function 
2020-03-15 16:51:16.961 INFO  Lote 1 FALHOU, erro: TypeError: conMongoDB.find is not a function 
2020-03-15 16:55:01.987 INFO  Lote 1 FALHOU, erro: TypeError: conMongoDB.find is not a function 
2020-03-15 16:55:49.721 INFO  Lote 1 FALHOU, erro: TypeError: db.find is not a function 
2020-03-15 17:03:07.214 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'find' of undefined 
2020-03-15 17:04:02.890 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'find' of undefined 
2020-03-15 17:10:41.420 INFO  Lote 1 INSERIDO 
2020-03-15 17:10:41.422 INFO  Lote 2 INSERIDO 
2020-03-15 17:10:41.423 INFO  Lote 3 INSERIDO 
2020-03-15 17:10:41.424 INFO  Lote 4 INSERIDO 
2020-03-15 17:10:41.425 INFO  Lote 5 INSERIDO 
2020-03-15 17:10:41.426 INFO  Lote 6 INSERIDO 
2020-03-15 17:10:41.427 INFO  Lote 7 INSERIDO 
2020-03-15 17:12:20.121 INFO  Lote 1 FALHOU, erro: TypeError: db.collection is not a function 
2020-03-15 17:17:55.942 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'collection' of null 
2020-03-15 17:18:57.042 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'collection' of null 
2020-03-15 17:19:43.632 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'collection' of null 
2020-03-15 17:21:11.519 INFO  Lote 0 FALHOU, erro: ReferenceError: mongo is not defined 
2020-03-15 17:21:37.969 INFO  Lote 0 FALHOU, erro: ReferenceError: url is not defined 
2020-03-15 17:21:56.076 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'collection' of null 
2020-03-15 17:31:43.789 INFO  Lote 1 INSERIDO 
2020-03-15 17:31:43.791 INFO  Lote 2 INSERIDO 
2020-03-15 17:31:43.792 INFO  Lote 3 INSERIDO 
2020-03-15 17:31:43.794 INFO  Lote 4 INSERIDO 
2020-03-15 17:31:43.795 INFO  Lote 5 INSERIDO 
2020-03-15 17:31:43.795 INFO  Lote 6 INSERIDO 
2020-03-15 17:31:43.795 INFO  Lote 7 INSERIDO 
2020-03-15 17:32:47.564 INFO  Lote 1 FALHOU, erro: TypeError: Cannot read property 'collection' of undefined 
2020-03-15 17:36:49.854 INFO  Lote 1 INSERIDO 
2020-03-15 17:36:49.857 INFO  Lote 2 INSERIDO 
2020-03-15 17:36:49.857 INFO  Lote 3 INSERIDO 
2020-03-15 17:36:49.858 INFO  Lote 4 INSERIDO 
2020-03-15 17:36:49.858 INFO  Lote 5 INSERIDO 
2020-03-15 17:36:49.858 INFO  Lote 6 INSERIDO 
2020-03-15 17:36:49.859 INFO  Lote 7 INSERIDO 
2020-03-15 17:49:30.482 INFO  Lote 1 INSERIDO 
2020-03-15 17:49:30.482 INFO  Lote 2 INSERIDO 
2020-03-15 17:49:30.482 INFO  Lote 3 INSERIDO 
2020-03-15 17:49:30.482 INFO  Lote 4 INSERIDO 
2020-03-15 17:49:30.482 INFO  Lote 5 INSERIDO 
2020-03-15 17:49:30.483 INFO  Lote 6 INSERIDO 
2020-03-15 17:49:30.483 INFO  Lote 7 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 1 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 2 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 3 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 4 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 5 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 6 INSERIDO 
2020-03-15 17:51:12.864 INFO  Lote 7 INSERIDO 
2020-03-15 17:55:09.174 INFO  Lote 1 INSERIDO 
2020-03-15 17:55:09.176 INFO  Lote 2 INSERIDO 
2020-03-15 17:55:09.176 INFO  Lote 3 INSERIDO 
2020-03-15 17:55:09.177 INFO  Lote 4 INSERIDO 
2020-03-15 17:55:09.178 INFO  Lote 5 INSERIDO 
2020-03-15 17:55:09.178 INFO  Lote 6 INSERIDO 
2020-03-15 17:55:09.178 INFO  Lote 7 INSERIDO 
2020-03-15 18:08:00.522 INFO  Lote 1 FALHOU, erro: ReferenceError: collection is not defined 
2020-03-15 18:13:41.920 INFO  Lote 1 FALHOU, erro: ReferenceError: collection is not defined 
2020-03-15 18:23:23.614 INFO  Lote 1 FALHOU, erro: ReferenceError: collection is not defined 
